time,snd_data_indication_cnt,rcv_data_indication_cnt
2016/11/23 13:52:16,808573,861566
2016/11/23 13:56:16,1433606,1438656
2016/11/23 14:00:16,867118,923672
2016/11/23 14:04:16,1527986,1526926
2016/11/23 14:08:16,927468,980601
2016/11/23 14:12:16,1602232,1593818
2016/11/23 14:16:16,985818,1039035
2016/11/23 16:27:27,98834,97955
2016/11/23 16:31:27,48848,52111
2016/11/23 16:35:27,197415,195544
2016/11/23 16:39:27,97940,104569
2016/11/23 16:43:27,295758,292875
2016/11/23 16:47:27,147432,157480
2016/11/23 16:51:27,394293,390485
2016/11/23 16:55:27,196506,209908
2016/11/23 16:59:27,492528,487713
2016/11/23 17:03:27,245991,262791
2016/11/23 17:07:27,594750,591860
2016/11/23 17:11:27,297032,317396
2016/11/23 08:41:03,539931,530833
2016/11/23 08:45:03,529232,519793
2016/11/23 08:49:03,539691,530440
2016/11/23 08:53:03,529089,519921
2016/11/23 08:57:03,542215,532440
2016/11/23 09:01:03,529409,519678
2016/11/23 09:05:03,542031,531996
2016/11/23 09:09:03,528694,519744
2016/11/23 09:13:03,539809,530387
2016/11/23 09:17:03,528692,519709
2016/11/23 17:15:27,697968,722121
2016/11/23 17:19:27,357729,399293
2016/11/23 14:20:16,1676731,1667937
2016/11/23 14:24:16,1013657,1078747
2016/11/23 14:28:16,1710345,1705093
2016/11/23 14:32:16,1106399,1168019
2016/11/23 14:36:16,1343957,1344620
2016/11/23 14:40:16,699086,759772
2016/11/23 09:21:03,539973,530077
2016/11/23 09:25:03,529374,519691
2016/11/23 09:29:03,539370,530236
2016/11/23 09:33:03,528856,519616
2016/11/23 09:37:03,539339,530114
2016/11/23 09:41:03,529388,519653
2016/11/23 09:45:03,540025,530735
2016/11/23 09:49:03,528567,519632
2016/11/23 09:53:03,539662,530268
2016/11/23 09:57:03,528702,519647
2016/11/23 10:01:03,540020,530309
2016/11/23 10:05:03,529385,519679
2016/11/23 10:09:03,539300,530106
2016/11/23 11:05:14,192044,190357
2016/11/23 11:09:14,103838,109959
2016/11/23 11:13:14,191285,189423
2016/11/23 11:17:14,104049,110696
2016/11/23 17:23:27,774418,814040
2016/11/23 17:27:27,424021,472910
2016/11/23 17:31:27,840933,857893
2016/11/23 17:35:27,498777,541689
2016/11/23 17:39:27,882887,896791
2016/11/23 17:43:27,571038,615062
2016/11/23 17:47:27,954162,964166
2016/11/23 17:51:27,640341,689025
2016/11/23 17:55:27,1038392,1047612
2016/11/23 17:59:27,699014,752529
2016/11/23 18:03:27,1126652,1133941
2016/11/23 18:07:27,752681,806508
2016/11/23 18:11:27,1222305,1229479
2016/11/23 18:15:27,822489,870991
2016/11/23 19:35:43,119633,118550
2016/11/23 19:39:43,64921,69015
2016/11/23 19:43:43,238897,236600
2016/11/23 19:47:43,130206,138527
2016/11/23 19:51:43,357892,354383
2016/11/23 19:55:43,195852,208398
2016/11/23 19:59:43,477121,472356
2016/11/23 20:03:43,261265,278059
2016/11/23 20:07:43,600134,599146
2016/11/23 20:11:43,330322,352746
2016/11/23 20:15:43,712973,750407
2016/11/23 20:19:43,413314,466175
2016/11/23 20:23:43,810515,833603
2016/11/23 20:27:43,526092,575198
2016/11/23 20:31:43,856326,867505
2016/11/23 20:35:43,635833,684784
2016/11/23 20:39:43,995715,1005251
2016/11/23 20:43:43,814401,870698
2016/11/23 20:47:43,1190354,1196142
2016/11/23 20:51:43,991697,1054907
2016/11/23 20:55:43,1364268,1376370
2016/11/23 20:59:43,1199289,1278850
2016/11/23 21:03:43,1492632,1489001
2016/11/23 21:07:43,1463101,1556119
2016/11/23 21:11:43,1400307,1403820
2016/11/23 21:15:43,1531046,1608217
2016/11/23 21:19:43,1481746,1494021
2016/11/23 21:23:43,1562249,1648483
2016/11/23 21:27:43,1501609,1602265
2016/11/23 21:31:43,1565929,1710793
